"CHANDA FELIX  - M ,UPND",145,11.79% 5.68%,,,,,,
"MUBANGA PRICHARD  - M ,FDD",21,1.71% 0.82%,,,,,,
,,,25,,2.03%,"1,230","2,553",48%
WARD: 000106007015 MWICHE,,,,,,,,
"CHISOPA BRASTON  - M ,PF",639,68.20% 34.73%,,,,,,
"CHANDA GLORIA  - F ,FDD",169,18.04% 9.18%,,,,,,
"CHILESHE EVANS  - M ,RAINBOW",85,9.07% 4.62%,,,,,,
"CHINTU FESTUS  - M ,UPND",29,3.09% 1.58%,,,,,,
,,,15,,1.60%,937,"1,840",51%
,,"01070095 ,CHILUBI CONSTITUENCY",,,,,,
WARD: 000107001001 MULANDA,,,,,,,,
"MULENGA CHILEKWA M - M ,PF",686,75.63% 40.12%,,,,,,
"CHUNGU PROTASHO  - M ,UPND",212,23.37% 12.40%,,,,,,
,,,9,,0.99%,907,"1,710",53%
WARD: 000107001003 CHIFWENGE,,,,,,,,
"BWALYA KENNEDY  - M ,PF",880,60.03% 34.88%,,,,,,
"MWEWA DANIEL  - M ,UPND",358,24.42% 14.19%,,,,,,
"MULENGA EVANS  - M ,FDD",191,13.03% 7.57%,,,,,,
,,,37,,2.52%,"1,466","2,523",58%
WARD: 000107001004 BULILO,,,,,,,,
"LWANGA ALBERT C - M ,UPND",643,37.49% 21.73%,,,,,,
"MWELA JOHN  - M ,FDD",526,30.67% 17.78%,,,,,,
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
"MPONDE PETER K - M ,PF",498,29.04%,16.83%,,,,,
,,,,48,2.80%,"1,715","2,959",58%
WARD: 000107001005 CHISUPA,,,,,,,,
"BWALYA STEPHEN  - M ,PF",615,61.25%,31.96%,,,,,
"SAMPULE CHONDE  - M ,UPND",374,37.25%,19.44%,,,,,
,,,,15,1.49%,"1,004","1,924",52%
WARD: 000107001006 MOFU,,,,,,,,
"CHILEKWA CLEMENT M - M ,PF",669,48.80%,18.65%,,,,,
"CHIBINGU MWABA  - M ,FDD",545,39.75%,15.19%,,,,,
"KANGWA BROOKS  - M ,UPND",126,9.19%,3.51%,,,,,
,,,,31,2.26%,"1,371","3,587",38%
WARD: 000107001007 CHILOBA,,,,,,,,
"MAKANGILA FEBIAN  - M ,PF",345,38.68%,19.27%,,,,,
"MWANSA AARON  - M ,UPND",269,30.16%,15.03%,,,,,
"MWANSA SYDNEEY  - M ,FDD",268,30.04%,14.97%,,,,,
,,,,10,1.12%,892,"1,790",50%
WARD: 000107001008 LWENDA,,,,,,,,
"CHONGO JOB  - M ,IND",434,47.54%,25.23%,,,,,
"GONDWE INGWA  - M ,PF",372,40.74%,21.63%,,,,,
"LUKAKI ANTHONY  - M ,UPND",96,10.51%,5.58%,,,,,
,,,,11,1.20%,913,"1,720",53%
WARD: 000107001009 MUTEKA,,,,,,,,
"MUTANDE GIFT B - M ,PF",918,71.94%,35.08%,,,,,
"MWABA DENNIS  - M ,UPND",331,25.94%,12.65%,,,,,
,,,,27,2.12%,"1,276","2,617",49%
WARD: 000107001010 KATAMBA,,,,,,,,
"CHANDA ERNEST  - M ,IND",956,66.57%,33.70%,,,,,
"MALISHALA CHARLES  - M ,PF",425,29.60%,14.98%,,,,,
"KUNDA DANNY  - M ,FDD",15,1.04%,0.53%,,,,,
,,,,40,2.79%,"1,436","2,837",51%
WARD: 000107001011 MPANSHYA,,,,,,,,
"CHITONGE ELIAS  - M ,PF",597,60.61%,31.08%,,,,,
"CHOLWE PATRICK  - M ,IND",196,19.90%,10.20%,,,,,
"NKONGE ROYED  - M ,FDD",112,11.37%,5.83%,,,,,
"KABANGO EDEN  - M ,UPND",45,4.57%,2.34%,,,,,
,,,,35,3.55%,985,"1,921",51%
WARD: 000107001012 KANCHINDI,,,,,,,,
"CHILEKWA FEBIAN  - M ,PF",456,45.06%,29.86%,,,,,
"MALAMA GIPSON  - M ,UPND",287,28.36%,18.80%,,,,,
"MACHIKO ADRIAN  - M ,FDD",247,24.41%,16.18%,,,,,
,,,,22,2.17%,"1,012","1,527",66%
WARD: 000107001013 KAPOKA,,,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"MULEBA DAVIES  - M ,PF",806,89.86% 54.50%,,,,,,
"CHIPULU RASFORD  - M ,FDD",71,7.92% 4.80%,,,,,,
,,,20,,2.23%,897,"1,479",61%
WARD: 000107001014 NGUNI,,,,,,,,
"CHOMBA PRUDENCE  - F ,PF",466,63.32% 39.59%,,,,,,
"MWANSA AUGUSTINE  - M ,UPND",200,27.17% 16.99%,,,,,,
"MWELWA MWANSA  - M ,FDD",53,7.20% 4.50%,,,,,,
,,,17,,2.31%,736,"1,177",63%
WARD: 000107001015 KASHITU,,,,,,,,
"SEMINGI NGOSA  - M ,PF",646,55.79% 27.35%,,,,,,
"CHIKUMA SANDFORD  - M ,FDD",474,40.93% 20.07%,,,,,,
,,,38,,3.28%,"1,158","2,362",49%
WARD: 000107001016 KAMBASHI,,,,,,,,
"CHISALA SAVIOUR  - M ,PF",595,73.01% 47.75%,,,,,,
"NSOFWA EMMANUEL  - M ,UPND",109,13.37% 8.75%,,,,,,
"MPONDE BORNFACE  - M ,FDD",101,12.39% 8.11%,,,,,,
,,,10,,1.23%,815,"1,246",65%
WARD: 000107001017 CHINKUNDU,,,,,,,,
"KABANSHI AMIDIUS  - M ,PF",934,64.68% 39.90%,,,,,,
"MUMBI FORMENT  - M ,UPND",330,22.85% 14.10%,,,,,,
"MWEWA DOMINIC  - M ,FDD",145,10.04% 6.19%,,,,,,
,,,35,,2.42%,"1,444","2,341",62%
WARD: 000107001018 KAWENA,,,,,,,,
"LUKATULA PAUL N. - M ,PF",851,72.74% 41.51%,,,,,,
"CHIPAMBA MERCY  - F ,UPND",267,22.82% 13.02%,,,,,,
"KALABA CHARLES  - M ,FDD",31,2.65% 1.51%,,,,,,
,,,21,,1.79%,"1,170","2,050",57%
WARD: 000107001019 MUBEMBA,,,,,,,,
"MALUNGA JOSEPH  - M ,PF",628,61.21% 39.80%,,,,,,
"KALEYA JUSTINE M - M ,UPND",201,19.59% 12.74%,,,,,,
"YOMBWE CLEMENT  - M ,FDD",178,17.35% 11.28%,,,,,,
,,,19,,1.85%,"1,026","1,578",65%
WARD: 000107001020 KANAMA,,,,,,,,
"KAOMBE BENARD  - M ,FDD",787,66.58% 37.30%,,,,,,
"MWANSA ELUID  - M ,UPND",351,29.70% 16.64%,,,,,,
,,,44,,3.72%,"1,182","2,110",56%
WARD: 000107001021 BUMBA,,,,,,,,
"SOBONGO ROBERT  - M ,PF","1,156",72.11% 33.38%,,,,,,
"MUTANDE KALEYA  - M ,UPND",432,26.95% 12.47%,,,,,,
,,,15,,0.94%,"1,603","3,463",46%
,,"01070096 ,KAPUTA CONSTITUENCY",,,,,,
WARD: 000107002001 MUNKONGE,,,,,,,,
"KALUMBA GEOFFREY  - M ,PF",595,55.50%,36.89%,,,,,
"MISOWA DYMON  - M ,UPND",462,43.10%,28.64%,,,,,
,,,,15,1.40%,"1,072","1,613",66%
WARD: 000107002002 MWAWE,,,,,,,,
"CHIPILI GILBERT  - M ,PF","1,060",59.18%,37.44%,,,,,
"MANDA JAMES  - M ,UPND",633,35.34%,22.36%,,,,,
"KABWE ISAAC  - M ,FDD",75,4.19%,2.65%,,,,,
,,,,23,1.28%,"1,791","2,831",63%
WARD: 000107002003 KAPULWA,,,,,,,,
"SIKAZWE SAMUEL  - M ,UPND",599,50.55%,32.64%,,,,,
"CHABINGA HIGHSON J - M ,PF",564,47.59%,30.74%,,,,,
,,,,22,1.86%,"1,185","1,835",65%
WARD: 000107002004 KALEULU,,,,,,,,
"KALIMBA GEORGE  - M ,PF",708,51.45%,34.88%,,,,,
"KAPEMBWA HENRY  - M ,UPND",638,46.37%,31.43%,,,,,
"KATAI JAMES  - M ,FDD",16,1.16%,0.79%,,,,,
,,,,14,1.02%,"1,376","2,030",68%
WARD: 000107002005 LUBENDWE,,,,,,,,
"CHISHIMBA MOSES  - M ,UPND",229,47.41%,35.12%,,,,,
"SUSE OBED  - M ,PF",222,45.96%,34.05%,,,,,
"CHISHIMBA BOSTON  - M ,FDD",26,5.38%,3.99%,,,,,
,,,,6,1.24%,483,652,74%
WARD: 000107002006 MOWA,,,,,,,,
"KAPUTA MATHEWS  - M ,PF",747,54.85%,34.79%,,,,,
"MULONGA SIMON  - M ,UPND",587,43.10%,27.34%,,,,,
,,,,28,2.06%,"1,362","2,147",63%
WARD: 000107002007 MIYONGA,,,,,,,,
"CHIPILI JASON B - M ,PF","1,083",52.68%,34.37%,,,,,
"KATAI JAMES  - M ,UPND",911,44.31%,28.91%,,,,,
"CHIWELE ROBERTY R - M ,FDD",39,1.90%,1.24%,,,,,
,,,,23,1.12%,"2,056","3,151",65%
WARD: 000107002008 CHOMA,,,,,,,,
"MULEMBA ISRAEL  - M ,PF","2,442",67.07%,37.14%,,,,,
"KALUMBA GOODWIN  - M ,UPND","1,046",28.73%,15.91%,,,,,
"KASONGO ROYD KCW - M ,FDD",107,2.94%,1.63%,,,,,
,,,,46,1.26%,"3,641","6,575",55%
WARD: 000107002009 CHIPILI,,,,,,,,
"KAMBOLE BENARD  - M ,PF",834,53.63%,33.66%,,,,,
"KATELE HEAVENSON  - M ,UPND",650,41.80%,26.23%,,,,,
"KABWE BINESS  - M ,FDD",24,1.54%,0.97%,,,,,
,,,,47,3.02%,"1,555","2,478",63%
WARD: 000107002010 NKONTA,,,,,,,,
,VOTES OBTAINED % AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,VOTES CAST,REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"KAPANGULA DICKSON  - M ,PF",567 54.52%,30.52%,,,,,,
"CHUSA DERICK  - M ,UPND",466 44.81%,25.08%,,,,,,
,,,7,0.67%,,"1,040","1,858",56%
WARD: 000107002011 KAYAMBA,,,,,,,,
"MUSONDA DICKSON  - M ,PF",531 69.69%,40.26%,,,,,,
"CHOMBA EVANS  - M ,UPND",178 23.36%,13.50%,,,,,,
"KAFWANKA PATSON  - M ,FDD",48 6.30%,3.64%,,,,,,
,,,5,0.66%,,762,"1,319",58%
WARD: 000107002012 CHIYILUNDA,,,,,,,,
"KAPOMA BRICKNELL  - M ,UPND",594 51.16%,34.49%,,,,,,
"NSAMA EBBAR  - M ,PF",548 47.20%,31.82%,,,,,,
,,,19,1.64%,,"1,161","1,722",67%
WARD: 000107002013 MOFWE,,,,,,,,
"MWILA BORNFACE  - M ,PF",595 57.60%,40.53%,,,,,,
"CHULU LAZALOUS  - M ,UPND",432 41.82%,29.43%,,,,,,
,,,6,0.58%,,"1,033","1,468",70%
WARD: 000107002014 KALUNGWISHI,,,,,,,,
"NG'ONGA MAXAS  - M ,PF",378 62.07%,38.49%,,,,,,
"CHANDA AUSTINE  - M ,UPND",228 37.44%,23.22%,,,,,,
,,,3,0.49%,,609,982,62%
WARD: 000107002015 LUNTOMFWE,,,,,,,,
"KAPASA ROYD  - M ,PF",566 66.12%,46.43%,,,,,,
"KAFWANKA KENNEDY  - M ,UPND",284 33.18%,23.30%,,,,,,
,,,6,0.70%,,856,"1,219",70%
,"01070097 ,KASAMA CENTRAL CONSTITUENCY",,,,,,,
WARD: 000107003001 KASENGA,,,,,,,,
"SHATA ALFRED  - M ,PF","2,474 77.19%",38.86%,,,,,,
"MUPESENI HENRY  - M ,UPND",683 21.31%,10.73%,,,,,,
,,,48,1.50%,,"3,205","6,366",50%
WARD: 000107003002 LUKULU,,,,,,,,
"MUNKONGE CLIFFORD  - M ,PF",937 51.06%,26.38%,,,,,,
"BWALYA AUBREY  - M ,UPND",738 40.22%,20.78%,,,,,,
"BWEMBYA CHISHIMBA  - M ,FDD",105 5.72%,2.96%,,,,,,
,,,55,3.00%,,"1,835","3,552",52%
WARD: 000107003003 BULULU,,,,,,,,
"MUSONDA FRANCIS  - M ,PF","3,130 68.42%",38.47%,,,,,,
"MUKUPA CHITUNDU C - M ,UPND","1,348 29.46%",16.57%,,,,,,
,,,97,2.12%,,"4,575","8,137",56%
WARD: 000107003004 CHILUNGA,,,,,,,,
"BWEMBYA HENRY  - M ,PF","2,390 69.16%",32.53%,,,,,,
"MUTALE JOSEPH  - M ,UPND",999 28.91%,13.60%,,,,,,
,,,67,1.94%,,"3,456","7,348",47%
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
WARD: 000107003005 LUKUPA,,,,,,,,
"MBEWE THANDIZANI  - M ,PF","2,782",73.02% 40.72%,,,,,,
"KASONDE CHARLES  - M ,UPND",854,22.41% 12.50%,,,,,,
"CHILESHE FRANCIS  - M ,FDD",93,2.44% 1.36%,,,,,,
,,,81,,2.13%,"3,810","6,832",56%
WARD: 000107003006 JULIA CHIKAMONEKA,,,,,,,,
"YUDA PETER C - M ,PF","1,483",59.32% 31.72%,,,,,,
"SAMPA JOHN  - M ,UPND",780,31.20% 16.68%,,,,,,
"MWAMBA MAMETUS M - M ,FDD",152,6.08% 3.25%,,,,,,
"KABUNGO KELVIN  - M ,RAINBOW",37,1.48% 0.79%,,,,,,
,,,48,,1.92%,"2,500","4,676",53%
WARD: 000107003007 MULILANSOLO,,,,,,,,
"ZIMBA AARON  - M ,PF","6,040",71.33% 39.61%,,,,,,
"MUSONDA ELIAS  - M ,UPND","2,196",25.93% 14.40%,,,,,,
"MUSONDA JULIET  - F ,FDD",160,1.89% 1.05%,,,,,,
,,,72,,0.85%,"8,468","15,250",56%
WARD: 000107003008 BUSEKO,,,,,,,,
"MAPONGA PATRICK  - M ,PF","5,519",71.69% 40.96%,,,,,,
"NSOFU LEROY  - M ,UPND","1,820",23.64% 13.51%,,,,,,
"MUTALE JORDAN  - M ,FDD",236,3.07% 1.75%,,,,,,
,,,123,,1.60%,"7,698","13,475",57%
,,"01070098 ,LUKASHYA CONSTITUENCY",,,,,,
WARD: 000107003009 LUALUO,,,,,,,,
"KALIMANSHILA JAMES  - M ,PF","2,005",68.15% 34.06%,,,,,,
"CHISHA ENOCK  - M ,UPND",708,24.07% 12.03%,,,,,,
"BANDA LUCY  - F ,FDD",135,4.59% 2.29%,,,,,,
"KAPONGOLO JOACKIM  - M ,RAINBOW",28,0.95% 0.48%,,,,,,
,,,66,,2.24%,"2,942","5,887",50%
WARD: 000107003010 CHIBA,,,,,,,,
"MUKUKA OSWARD C - M ,PF","3,070",65.47% 36.55%,,,,,,
"SIMBAYA GALEX K. - M ,UPND",964,20.56% 11.48%,,,,,,
"KOWA FENARD  - M ,FDD",283,6.04% 3.37%,,,,,,
"KASHINGA MATHIAS  - M ,UDF",117,2.50% 1.39%,,,,,,
"MUBANGA LAZAROUS B - M ,RAINBOW",82,1.75% 0.98%,,,,,,
,,,173,,3.69%,"4,689","8,399",56%
WARD: 000107003011 KUPUMAULA,,,,,,,,
"BWALYA JAMES  - M ,PF","5,167",76.00% 37.15%,,,,,,
"MULENGA PRISCA  - F ,UPND","1,086",15.97% 7.81%,,,,,,
"MBIJO MAWAZO  - M ,UDF",232,3.41% 1.67%,,,,,,
"KABWE GODFREY  - M ,FDD",161,2.37% 1.16%,,,,,,
,,,153,,2.25%,"6,799","13,908",49%
WARD: 000107003012 KAPONGOLO,,,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"MUBANGA PETER K - M ,PF","1,820",67.66% 34.53%,,,,,,
"MWILA DANIEL  - M ,UPND",674,25.06% 12.79%,,,,,,
"MWILA FESTUS  - M ,FDD",126,4.68% 2.39%,,,,,,
,,,70,2.60%,,"2,690","5,271",51%
WARD: 000107003013 CHIBUNDU,,,,,,,,
"MUMBA KAPAMBWE K - M ,PF","2,449",81.44% 34.28%,,,,,,
"SIWILA LENARD C - M ,UPND",477,15.86% 6.68%,,,,,,
,,,81,2.69%,,"3,007","7,144",42%
WARD: 000107003015 MUSOWA,,,,,,,,
"CHAMA MICHAEL  - M ,FDD",514,55.39% 19.78%,,,,,,
"KAELA CHIPALO  - M ,UPND",383,41.27% 14.74%,,,,,,
,,,31,3.34%,,928,"2,598",36%
WARD: 000107003016 MUKANGA,,,,,,,,
"CHIPATA HILDAH  - F ,PF","1,457",76.81% 38.25%,,,,,,
"MUBANGA RABBIE  - M ,UPND",402,21.19% 10.55%,,,,,,
,,,38,2.00%,,"1,897","3,809",50%
WARD: 000107003017 LUSENGA,,,,,,,,
"KAPAMBWE PETER  - M ,PF","1,521",61.80% 29.73%,,,,,,
"MWAPE COSMAS  - M ,UPND",882,35.84% 17.24%,,,,,,
,,,58,2.36%,,"2,461","5,116",48%
,,"01070099 ,LUBANSENSHI CONSTITUENCY",,,,,,
WARD: 000107004001 ISANGANO,,,,,,,,
"MUTALE MOSES L - M ,PF","1,051",61.39% 40.07%,,,,,,
"CHILANDO PETER  - M ,UPND",644,37.62% 24.55%,,,,,,
,,,17,0.99%,,"1,712","2,623",65%
WARD: 000107004002 LWATA,,,,,,,,
"CHILANDO COSMAS  - M ,PF",950,49.76% 32.36%,,,,,,
"CHOLA JUSTIN  - M ,UPND",909,47.62% 30.96%,,,,,,
,,,50,2.62%,,"1,909","2,936",65%
WARD: 000107004003 MUSHITU ‰ÛÒ WAMBOO,,,,,,,,
"CHABU MAXIMO  - M ,PF","1,197",64.98% 40.28%,,,,,,
"MWANSA MANFORD  - M ,UPND",609,33.06% 20.49%,,,,,,
,,,36,1.95%,,"1,842","2,972",62%
WARD: 000107004004 CHIFWILE,,,,,,,,
"CHITUTA CLEMENT  - M ,PF","1,287",74.22% 43.03%,,,,,,
"KANYANTA STEPHEN K - M ,UPND",375,21.63% 12.54%,,,,,,
"MATE GIFT  - F ,FDD",31,1.79% 1.04%,,,,,,
,,,41,2.36%,,"1,734","2,991",58%
WARD: 000107004005 MASONDE,,,,,,,,
"MUSONDA CHARLES  - M ,PF","1,345",62.91% 35.93%,,,,,,
"MUSONDA STENFORD  - M ,UPND",744,34.80% 19.88%,,,,,,
,,,49,2.29%,,"2,138","3,743",57%
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
WARD: 000107004006 IPUSUKILO,,,,,,,,
"KATONGO STEPHEN  - M ,PF","1,071",85.68% 45.27%,,,,,,
"CHILESHE MICHAEL  - M ,UPND",153,12.24% 6.47%,,,,,,
,,,26,2.08%,,"1,250","2,366",53%
WARD: 000107004007 NAMUKOLO,,,,,,,,
"BANDA MOSES  - M ,PF","1,427",70.47% 40.74%,,,,,,
"MUKUKA WINFRED  - M ,UPND",391,19.31% 11.16%,,,,,,
"SHIMUMBI ELIAS  - M ,MMD",140,6.91% 4.00%,,,,,,
,,,67,3.31%,,"2,025","3,503",58%
WARD: 000107004008 CHULUNGOMA,,,,,,,,
"MULENGA JENNIPHER  - F ,PF","1,148",63.96% 40.99%,,,,,,
"NSHINDANO EVERLYN  - F ,UPND",349,19.44% 12.46%,,,,,,
"CHIPALO FREDRICK  - M ,MMD",259,14.43% 9.25%,,,,,,
,,,39,2.17%,,"1,795","2,801",64%
WARD: 000107004009 KATOPOLA,,,,,,,,
"MULENGA RODRICKS  - M ,PF","1,760",69.26% 38.07%,,,,,,
"MULENGA CLEMENT  - M ,UPND",719,28.30% 15.55%,,,,,,
,,,62,2.44%,,"2,541","4,623",55%
,,"01070100 ,LUPOSOSHI CONSTITUENCY",,,,,,
WARD: 000107004010 KAMPEMBA,,,,,,,,
"CHANSA JOSEPH  - M ,PF",897,59.13% 34.54%,,,,,,
"CHISHIMBA BERNARD  - M ,UPND",543,35.79% 20.91%,,,,,,
"BWALYA ABBIGUY  - M ,FDD",48,3.16% 1.85%,,,,,,
,,,29,1.91%,,"1,517","2,597",58%
WARD: 000107004011 MULALASHI,,,,,,,,
"CHILESHE YVONNE  - F ,PF","1,118",71.67% 46.66%,,,,,,
"CHOMBA LAZAROUS  - M ,UPND",419,26.86% 17.49%,,,,,,
,,,23,1.47%,,"1,560","2,396",65%
WARD: 000107004012 MUFILI,,,,,,,,
"MULENGA JUSTINE  - M ,PF",897,73.11% 48.70%,,,,,,
"KABANSHI DEODATIUS  - M ,UPND",321,26.16% 17.43%,,,,,,
,,,9,0.73%,,"1,227","1,842",67%
WARD: 000107004013 MWELA WAMANGU,,,,,,,,
"CHILUFYA SIMON M - M ,PF","1,330",61.83% 31.24%,,,,,,
"CHAPA EMMANUEL  - M ,UPND",790,36.73% 18.56%,,,,,,
,,,31,1.44%,,"2,151","4,257",51%
WARD: 000107004014 ISANSA,,,,,,,,
"MULENGA MOSES  - M ,PF",897,62.03% 33.14%,,,,,,
"KABASO MARY  - F ,IND",321,22.20% 11.86%,,,,,,
"MWAPE EVANS  - M ,UPND",181,12.52% 6.69%,,,,,,
"MWAPE ERNEST  - M ,FDD",13,0.90% 0.48%,,,,,,
,,,34,2.35%,,"1,446","2,707",53%
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,,PAPERS %,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
WARD: 000107004015 BWALINDE,,,,,,,,
"CHABU LUKE  - M ,PF","1,640",79.69% 40.83%,,,,,,
"MWENGWE TYSON  - M ,FDD",386,18.76% 9.61%,,,,,,
,,,32,,1.55%,"2,058","4,017",51%
WARD: 000107004017 ILAMBO,,,,,,,,
"MUSHILI FRANCIS  - M ,PF","1,209",72.35% 52.04%,,,,,,
"MWANSA JAMES  - M ,UPND",391,23.40% 16.83%,,,,,,
"CHOLA JUSTINE  - M ,FDD",41,2.45% 1.76%,,,,,,
,,,30,,1.80%,"1,671","2,323",72%
WARD: 000107004018 KAFINSA,,,,,,,,
"KAPEYA FIDELIS  - M ,PF","1,175",82.46% 49.77%,,,,,,
"CHILOBA JOACKIM  - M ,UPND",242,16.98% 10.25%,,,,,,
,,,8,,0.56%,"1,425","2,361",60%
WARD: 000107004019 KATILYE,,,,,,,,
"MULENGA BARNABAS  - M ,PF","1,142",64.56% 43.59%,,,,,,
"KAUNDA EMMY  - F ,IND",446,25.21% 17.02%,,,,,,
"SANKATA INNOCENT  - M ,UPND",162,9.16% 6.18%,,,,,,
,,,19,,1.07%,"1,769","2,620",68%
WARD: 000107004020 MUSHINGA,,,,,,,,
"MWABA PEKU  - M ,PF","1,294",70.94% 46.10%,,,,,,
"KATUTA KENNETH  - M ,UPND",487,26.70% 17.35%,,,,,,
,,,43,,2.36%,"1,824","2,807",65%
WARD: 000107004021 KAELA,,,,,,,,
"MUSENGE CHARLES  - M ,PF",694,56.70% 28.12%,,,,,,
"MUSAMBACHIME EVANCE  - M ,UPND",506,41.34% 20.50%,,,,,,
,,,24,,1.96%,"1,224","2,468",50%
,,"01070101 ,MBALA CONSTITUENCY",,,,,,
WARD: 000107005002 INTALA,,,,,,,,
"SIAME VINCENT  - M ,PF","2,311",60.32% 33.03%,,,,,,
"SINKAMBA WILLIAM  - M ,UPND","1,285",33.54% 18.37%,,,,,,
"SIMUKOKO ISAAC  - M ,FDD",100,2.61% 1.43%,,,,,,
,,,135,,3.52%,"3,831","6,997",55%
WARD: 000107005003 MOTOMOTO,,,,,,,,
"SILONDWA KENNETH  - M ,PF","1,295",76.27% 39.45%,,,,,,
"CHANDA MUTALE  - M ,UPND",303,17.84% 9.23%,,,,,,
"CHALI LEWIS  - M ,FDD",55,3.24% 1.68%,,,,,,
,,,45,,2.65%,"1,698","3,283",52%
WARD: 000107005004 KAZIMOLWA,,,,,,,,
"SIMUTENDA STEWARD  - M ,PF","4,411",64.00% 30.47%,,,,,,
"SIMUYEMBA CHANZA H - M ,IND","1,480",21.47% 10.22%,,,,,,
"SIKAINGA DERRICK C - M ,UPND",667,9.68% 4.61%,,,,,,
"BWALYA FREDRICK  - M ,FDD",113,1.64% 0.78%,,,,,,
,VOTES OBTAINED,% AGAINST % AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
"CHANSA CHRISTOPHER M - M ,RAINBOW",31,0.45% 0.21%,,,,,,
,,,190,2.76%,,"6,892","14,478",48%
WARD: 000107005005 MWAMBEZI,,,,,,,,
"CHUNGU ARON  - M ,PF","1,135",65.91% 27.29%,,,,,,
"SINYANGWE MOSES J - M ,UPND",490,28.46% 11.78%,,,,,,
"NAKAPILI JOSEPHINE  - F ,FDD",51,2.96% 1.23%,,,,,,
,,,46,2.67%,,"1,722","4,159",41%
WARD: 000107005006 NSUNZU,,,,,,,,
"SIMBEYA CLEVER  - M ,PF","1,649",74.89% 24.66%,,,,,,
"LAMBWE WIGAN  - M ,UPND",414,18.80% 6.19%,,,,,,
"SINYANGWE JULIAS  - M ,FDD",60,2.72% 0.90%,,,,,,
,,,79,3.59%,,"2,202","6,687",33%
WARD: 000107005007 KAWIMBE,,,,,,,,
"LAMBWE THOMAS  - M ,PF","1,376",85.31% 39.94%,,,,,,
"SINYANGWE KAPEMBWA  - M ,UPND",131,8.12% 3.80%,,,,,,
"SIMPEMBA ANTHONY  - M ,FDD",59,3.66% 1.71%,,,,,,
,,,47,2.91%,,"1,613","3,445",47%
WARD: 000107005008 MWAMBA,,,,,,,,
"SIMBEYA JACKSON  - M ,PF","1,655",78.18% 41.46%,,,,,,
"SINYANGWE EMMANUEL  - M ,IND",219,10.34% 5.49%,,,,,,
"KAZIWE EVERISTO  - M ,UPND",113,5.34% 2.83%,,,,,,
"SIMUSOKWE KELLIES  - M ,FDD",41,1.94% 1.03%,,,,,,
,,,89,4.20%,,"2,117","3,992",53%
WARD: 000107005009 LWANDI,,,,,,,,
"NTUNTU ALFRED  - M ,PF","2,702",76.03% 36.33%,,,,,,
"KAMBELEMBELE NAILO  - M ,FDD",418,11.76% 5.62%,,,,,,
"SIMUKWANYA JOSEPH  - M ,UPND",318,8.95% 4.28%,,,,,,
,,,116,3.26%,,"3,554","7,437",48%
,,"01070102 ,SENGA HILL CONSTITUENCY",,,,,,
WARD: 000107005010 MUKOLOLO,,,,,,,,
"SILAVWE EUSTOUS  - M ,PF","1,413",52.92% 23.37%,,,,,,
"SILAVWE FRANCIS  - M ,UPND",918,34.38% 15.18%,,,,,,
"SIMPUNGWE JIMMY  - M ,FDD",270,10.11% 4.47%,,,,,,
,,,69,2.58%,,"2,670","6,046",44%
WARD: 000107005011 CHOZI,,,,,,,,
"KASONDE FRANCIS  - M ,PF","1,199",63.21% 32.23%,,,,,,
"KALINDAMWANGO KENNY  - M ,UPND",650,34.26% 17.47%,,,,,,
,,,48,2.53%,,"1,897","3,720",51%
WARD: 000107005012 IPEMBE,,,,,,,,
